#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Pete Rose Baseball (USA);Pete Rose Baseball (USA);Atari7800;;;;;;;;;;;;;;;;;;
Pit Fighter (USA) (Proto);Pit Fighter (USA) (Proto);Atari7800;;;;;;;;;;;;;;;;;;
Planet Smashers (Europe);Planet Smashers (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Planet Smashers (USA);Planet Smashers (USA);Atari7800;;;;;;;;;;;;;;;;;;
Plutos (USA) (Proto);Plutos (USA) (Proto);Atari7800;;;;;;;;;;;;;;;;;;
Pole Position II (Europe);Pole Position II (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Pole Position II (USA);Pole Position II (USA);Atari7800;;;;;;;;;;;;;;;;;;
Pole Position II (USA) (Beta);Pole Position II (USA) (Beta);Atari7800;;;;;;;;;;;;;;;;;;
Rampage (USA);Rampage (USA);Atari7800;;;;;;;;;;;;;;;;;;
Rampart (USA) (Proto);Rampart (USA) (Proto);Atari7800;;;;;;;;;;;;;;;;;;
RealSports Baseball (USA);RealSports Baseball (USA);Atari7800;;;;;;;;;;;;;;;;;;
Rescue on Fractalus (USA) (Proto);Rescue on Fractalus (USA) (Proto);Atari7800;;;;;;;;;;;;;;;;;;
Robotron - 2084 (USA);Robotron - 2084 (USA);Atari7800;;;;;;;;;;;;;;;;;;
Scrapyard Dog (Europe);Scrapyard Dog (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Scrapyard Dog (USA);Scrapyard Dog (USA);Atari7800;;;;;;;;;;;;;;;;;;
Sentinel (Europe);Sentinel (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Sentinel (USA) (Proto);Sentinel (USA) (Proto);Atari7800;;;;;;;;;;;;;;;;;;
Sirius (USA) (Proto);Sirius (USA) (Proto);Atari7800;;;;;;;;;;;;;;;;;;
Summer Games (USA);Summer Games (USA);Atari7800;;;;;;;;;;;;;;;;;;
Super Huey UH-IX (Europe);Super Huey UH-IX (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Super Huey UH-IX (USA);Super Huey UH-IX (USA);Atari7800;;;;;;;;;;;;;;;;;;
Super Skateboardin' (Europe);Super Skateboardin' (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Super Skateboardin' (USA);Super Skateboardin' (USA);Atari7800;;;;;;;;;;;;;;;;;;
Tank Command (USA);Tank Command (USA);Atari7800;;;;;;;;;;;;;;;;;;
Title Match Pro Wrestling (Europe);Title Match Pro Wrestling (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Title Match Pro Wrestling (USA);Title Match Pro Wrestling (USA);Atari7800;;;;;;;;;;;;;;;;;;
Tomcat - The F-14 Fighter Simulator (Europe);Tomcat - The F-14 Fighter Simulator (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Tomcat - The F-14 Fighter Simulator (USA);Tomcat - The F-14 Fighter Simulator (USA);Atari7800;;;;;;;;;;;;;;;;;;
Touchdown Football (USA);Touchdown Football (USA);Atari7800;;;;;;;;;;;;;;;;;;
Tower Toppler (Europe);Tower Toppler (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Tower Toppler (USA);Tower Toppler (USA);Atari7800;;;;;;;;;;;;;;;;;;
Water Ski (USA);Water Ski (USA);Atari7800;;;;;;;;;;;;;;;;;;
Winter Games (USA);Winter Games (USA);Atari7800;;;;;;;;;;;;;;;;;;
Xenophobe (Europe);Xenophobe (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Xenophobe (USA);Xenophobe (USA);Atari7800;;;;;;;;;;;;;;;;;;
Xevious (Europe);Xevious (Europe);Atari7800;;;;;;;;;;;;;;;;;;
Xevious (USA);Xevious (USA);Atari7800;;;;;;;;;;;;;;;;;;
Xevious (USA) (Beta);Xevious (USA) (Beta);Atari7800;;;;;;;;;;;;;;;;;;
[BIOS] Atari 7800 (Europe);[BIOS] Atari 7800 (Europe);Atari7800;;;;;;;;;;;;;;;;;;
[BIOS] Atari 7800 (USA);[BIOS] Atari 7800 (USA);Atari7800;;;;;;;;;;;;;;;;;;
