#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Fantasy Zone (USA);Fantasy Zone (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Fighting Run (Japan);Fighting Run (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Final Blaster (Japan);Final Blaster (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Final Lap Twin (USA);Final Lap Twin (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Final Match Tennis (Japan);Final Match Tennis (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Final Soldier (Japan) (En);Final Soldier (Japan) (En);TurboGrafx16;;;;;;;;;;;;;;;;;;
Final Soldier - Special Version (Japan) (En);Final Soldier - Special Version (Japan) (En);TurboGrafx16;;;;;;;;;;;;;;;;;;
Fire Pro Wrestling - Combination Tag (Japan);Fire Pro Wrestling - Combination Tag (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Fire Pro Wrestling 2 - 2nd Bout (Japan);Fire Pro Wrestling 2 - 2nd Bout (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Fire Pro Wrestling 3 - Legend Bout (Japan);Fire Pro Wrestling 3 - Legend Bout (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Formation Soccer - Human Cup '90 (Japan);Formation Soccer - Human Cup '90 (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Formation Soccer - On J League (Japan);Formation Soccer - On J League (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Fushigi no Yume no Alice (Japan);Fushigi no Yume no Alice (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Gai Flame (Japan);Gai Flame (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Gaia no Monshou (Japan);Gaia no Monshou (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Galaga '90 (USA);Galaga '90 (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Ganbare! Golf Boys (Japan);Ganbare! Golf Boys (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Gekisha Boy (Japan);Gekisha Boy (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Genji Tsuushin Agedama (Japan);Genji Tsuushin Agedama (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Genpei Toumaden (Japan);Genpei Toumaden (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Ghost Manor (USA);Ghost Manor (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Gokuraku! Chuuka Taisen (Japan);Gokuraku! Chuuka Taisen (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Gomola Speed (Japan);Gomola Speed (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Gradius (Japan);Gradius (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Gunboat (USA);Gunboat (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Gunhed - Special Version (Japan);Gunhed - Special Version (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Hana Taaka Daka! (Japan);Hana Taaka Daka! (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Hanii on the Road (Japan);Hanii on the Road (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Hatris (Japan);Hatris (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Heavy Unit (Japan);Heavy Unit (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Hisou Kihei X-Serd (Japan);Hisou Kihei X-Serd (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Hit the Ice - VHL - The Official Video Hockey League (USA);Hit the Ice - VHL - The Official Video Hockey League (USA);TurboGrafx16;;;;;;;;;;;;;;;;;;
Honoo no Toukyuuji - Dodge Danpei (Japan);Honoo no Toukyuuji - Dodge Danpei (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
Idol Hanafuda Fan Club (Japan) (Unl);Idol Hanafuda Fan Club (Japan) (Unl);TurboGrafx16;;;;;;;;;;;;;;;;;;
Image Fight (Japan);Image Fight (Japan);TurboGrafx16;;;;;;;;;;;;;;;;;;
