#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Blaster Master (USA);Blaster Master (USA);NES;bmaster;1988;Sunsoft;;;;;;;;bmasteru;;;;;;;
Stack-Up ~ Block (World);Block Set ~ Stack Up (Jpn);NES;stackup;1985;Nintendo;;;;;;;;blockset;ブロックセット;;;;;;
Blue Marlin, The (USA);The Blue Marlin (USA);NES;;1992;Hot-B;;;;;;;;bluemarl;;;;;;;
Blues Brothers, The (USA);The Blues Brothers (USA);NES;bluesb;1992;Titus;;;;;;;;bluesbu;;;;;;;
Bo Jackson Baseball (USA);Bo Jackson Baseball (USA);NES;;1991;Data East;;;;;;;;bojacksn;;;;;;;
Bomberman (USA);Bomberman (USA);NES;;1989;Hudson Soft;;;;;;;;bombman;;;;;;;
Bomberman II (USA);Bomberman II (USA);NES;dynablas;1993;Hudson Soft;;;;;;;;bombman2;;;;;;;
Bonk's Adventure (USA);Bonk's Adventure (USA);NES;;1994;Hudson Soft;;;;;;;;bonk;;;;;;;
Boulder Dash (USA);Boulder Dash (USA);NES;bdash;1990;JVC;;;;;;;;bdashu;;;;;;;
Bram Stoker's Dracula (USA);Bram Stoker's Dracula (USA);NES;dracula;1993;Sony Imagesoft;;;;;;;;draculau;;;;;;;
Break Time - The National Pool Tour (USA);Break Time - The National Pool Tour (USA);NES;;1993;FCI;;;;;;;;breaktim;;;;;;;
BreakThru (USA);BreakThru (USA);NES;;1987;Data East;;;;;;;;breaktru;;;;;;;
Bubble Bobble (USA);Bubble Bobble (USA);NES;bublbobl;1988;Taito;;;;;;;;bublboblu;;;;;;;
Bubble Bobble Part 2 (USA);Bubble Bobble - Part 2 (USA);NES;;1993;Taito;;;;;;;;bublbob2;;;;;;;
Bucky O'Hare (USA);Bucky O'Hare (USA);NES;bucky;1992;Konami;;;;;;;;buckyu;;;;;;;
Bugs Bunny Birthday Blowout, The (USA);The Bugs Bunny Birthday Blowout (USA);NES;bugsbb;1990;Kemco;;;;;;;;bugsbbu;;;;;;;
Bugs Bunny Crazy Castle, The (USA);The Bugs Bunny Crazy Castle (USA);NES;;1989;Kemco;;;;;;;;bugscc;;;;;;;
Bump 'n' Jump (USA);Bump 'n' Jump (USA);NES;;1988;Vic Tokai;;;;;;;;bnj;;;;;;;
Burai Fighter (USA);Burai Fighter (USA);NES;burai;1990;Taxan;;;;;;;;buraiu;;;;;;;
BurgerTime (USA);BurgerTime (USA);NES;;1987;Data East;;;;;;;;btime;;;;;;;
Cabal (USA);Cabal (USA);NES;;1990;Milton Bradley;;;;;;;;cabal;;;;;;;
Caesars Palace (USA);Caesars Palace (USA);NES;;1992;Virgin Interactive;;;;;;;;caesars;;;;;;;
California Games (USA);California Games (USA);NES;calgames;1989;Milton Bradley;;;;;;;;calgamesu;;;;;;;
Capcom's Gold Medal Challenge '92 (USA);Capcom's Gold Medal Challenge '92 (USA);NES;goldmedl;1992;Capcom;;;;;;;;goldmedlu;;;;;;;
Captain America and the Avengers (USA);Captain America and the Avengers (USA);NES;captaven;1991;Data East;;;;;;;;captavenu;;;;;;;
Captain Comic - The Adventure (USA) (Unl);Captain Comic - The Adventure (USA);NES;;1989;Color Dreams;;;;;;;;captcom;;;;;;;
Captain Planet and the Planeteers (USA);Captain Planet and the Planeteers (USA);NES;captplan;1991;Mindscape;;;;;;;;captplanu;;;;;;;
Captain Skyhawk (USA) (Rev 1);Captain SkyHawk (USA, Rev. A);NES;captskyh;1990;Milton Bradley;;;;;;;;captskyhu;;;;;;;
Casino Kid (USA);Casino Kid (USA);NES;;1989;Sofel;;;;;;;;casinok;;;;;;;
Casino Kid II (USA);Casino Kid II (USA);NES;;1993;Sofel;;;;;;;;casinok2;;;;;;;
Castelian (USA);Castelian (USA);NES;casteln;1991;Triffix;;;;;;;;castelnu;;;;;;;
Castle of Deceit (USA) (Unl);Castle of Deceit (USA);NES;;1990;Bunch Games;;;;;;;;castldec;;;;;;;
Castle of Dragon (USA);Castle of Dragon (USA);NES;;1990;Seta;;;;;;;;castldrg;;;;;;;
Castlequest (USA);Castlequest (USA);NES;;1989;Nexoft;;;;;;;;castlqst;;;;;;;
Castlevania (USA) (Rev 1);Castlevania (USA, Rev. A);NES;cvania;1987;Konami;;;;;;;;cvaniau;;;;;;;
Castlevania II - Simon's Quest (USA);Castlevania II - Simon's Quest (USA);NES;cvania2;1988;Konami;;;;;;;;cvania2u;;;;;;;
Castlevania III - Dracula's Curse (USA);Castlevania III - Dracula's Curse (USA);NES;cvania3;1990;Konami;;;;;;;;cvania3u;;;;;;;
Caveman Games (USA);Caveman Games (USA);NES;;1990;Data East;;;;;;;;cavegame;;;;;;;
Challenge of the Dragon (USA) (Color Dreams) (Unl);Challenge of the Dragon (USA);NES;;1990;Color Dreams;;;;;;;;chaldrgn;;;;;;;
Championship Bowling (USA);Championship Bowling (USA);NES;;1989;Romstar;;;;;;;;champbwl;;;;;;;
Championship Pool (USA);Championship Pool (USA);NES;;1993;Mindscape;;;;;;;;champool;;;;;;;
Championship Rally (Europe);Championship Rally (Euro);NES;;1991;HAL Laboratory;;;;;;;;chrally;;;;;;;
Cheetahmen II (USA) (Unl);Cheetahmen II (USA);NES;;1992;Active Enterprises;;;;;;;;cheeta2;;;;;;;
Chessmaster, The (USA) (Rev 1);The Chessmaster (USA);NES;chessmst;1990;Hi Tech Expressions;;;;;;;;chessmstu;;;;;;;
Chiller (USA) (Unl);Chiller (USA);NES;chiller;1990;AGCI;;;;;;;;chilleru;;;;;;;
Choplifter (Japan) (En) (Rev 1);Choplifter (Jpn, Rev. 1);NES;;1986;Jaleco;;;;;;;;choplift;チョップリフター;;;;;;
Chris Evert & Ivan Lendl in Top Players' Tennis (USA);Chris Evert & Ivan Lendl in Top Players' Tennis (USA);NES;4ptennis;1990;Asmik;;;;;;;;evertlen;;;;;;;
Chubby Cherub (USA);Chubby Cherub (USA);NES;;1986;Bandai;;;;;;;;ccherub;;;;;;;
Circus Caper (USA);Circus Caper (USA);NES;;1990;Toho;;;;;;;;circuscp;;;;;;;
City Connection (USA);City Connection (USA);NES;citycon;1988;Jaleco;;;;;;;;cityconu;;;;;;;
