#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
16BIT Rhythm Land (World) (Unl);16BIT Rhythm Land (World) (Unl);Genesis;;;;;;;;;;;;;;;;;;
Chuck Rock (USA);Chuck Rock (USA);Genesis;chuckrck;1992;;;1;;;;;;chuckrcku;Chuck Rock;;;;;;
Chuck Rock II - Son of Chuck (USA);Chuck Rock II - Son of Chuck (USA);Genesis;chukrck2;1993;;;;;;;;;chukrck2u;Chuck Rock II: Son of Chuck;;;;;;
Classic Collection (Europe);Classic Collection (Euro);Genesis;;1996;;;;;;;;;classicc;Classic Collection;;;;;;
ClayFighter (USA);Clay Fighter (USA);Genesis;clayfght;1994;;;2;;;;;;clayfghtu;ClayFighter;;;;;;
Cliffhanger (USA);Cliffhanger (USA);Genesis;cliffh;1993;;;1;;;;;;cliffhu;Cliffhanger;;;;;;
Clue (USA);Clue (USA);Genesis;;1992;;;1;;;;;;clue;The Clue!;;;;;;
Coach K College Basketball (USA);Coach K College Basketball (USA);Genesis;;1995;;;4;;;;;;coachk;Coach K College Basketball;;;;;;
Coffee Crisis (World) (Unl);Coffee Crisis (World) (Unl);Genesis;;;;;2;;;;;;;Coffee Crisis;;;;;;
College Football USA 96 (USA);College Football USA 96 (USA);Genesis;;1995;;;;;;;;;colleg96;College Football USA 96;;;;;;
College Football USA 97 (USA);College Football USA 97 (USA);Genesis;;1996;;;4;;;;;;colleg97;College Football USA 97;;;;;;
College Football's National Championship (USA);College Football's National Championship (USA);Genesis;;1994;;;;;;;;;collnc;College Football's National Championship;;;;;;
College Football's National Championship II (USA);College Football's National Championship II (USA);Genesis;;1995;;;;;;;;;collnc2;College Football's National Championship II;;;;;;
College Slam (USA);College Slam (USA);Genesis;;1996;;;4;;;;;;collslam;College Slam;;;;;;
Columns (USA, Europe);Columns (World, v1.1?);Genesis;;1990;;;2;;;;;;columns;コラムス;;;;;;
Columns III (USA);Columns III - Revenge of Columns (USA);Genesis;;1993;;;5;;;;;;columns3;Columns III: Revenge of Columns;;;;;;
Combat Cars (USA, Europe);Combat Cars (Euro, USA);Genesis;;1994;;;;;;;;;combatca;Combat Cars;;;;;;
Comix Zone (USA);Comix Zone (USA);Genesis;comix;1995;;;1;;;;;;comixu;Comix Zone;;;;;;
Contra - Hard Corps (USA, Korea);Contra - Hard Corps (USA, Kor);Genesis;probot;1994;;;2;;;;;;contra;Contra: Hard Corps;;;;;;
Cool Spot (USA);Cool Spot (USA);Genesis;coolspot;1993;;;1;;;;;;coolspotu;Cool Spot;;;;;;
Cosmic Spacehead (USA, Europe) (En,Fr,De,Es);Cosmic Spacehead (Euro, USA);Genesis;;1993;;;2;;;;;;cosmic;Cosmic Spacehead;;;;;;
Crack Down (USA);Crack Down (USA);Genesis;crkdown;1991;;;2;;;;;;crkdownu;Crack Down;;;;;;
CrossFire (USA);Cross Fire (USA);Genesis;;1991;;;;;;;;;xfire;Crossfire;;;;;;
Crusader of Centy (USA);Crusader of Centy (USA);Genesis;soleil;1994;;;1;;;;;;crusader;Crusader of Centy;;;;;;
Crystal's Pony Tale (USA);Crystal's Pony Tale (USA);Genesis;;1994;;;;;;;;;crystlpt;Crystal's Pony Tale;;;;;;
