#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Olympic Hockey 98 (USA);Olympic Hockey 98 (USA);N64;;;;;;;;;;;;;;;;;;
PGA European Tour (USA);PGA European Tour (USA);N64;pgaeuro;2000;Infogrames;;;;;;;;pgaeurou;;;;;;;
Paper Mario (USA);Paper Mario (USA);N64;papermar;2000;Nintendo;;;;;;;;papermaru;;;;;;;
Paperboy (USA);Paperboy (Europe);N64;;1999;Midway;;;;;;;;paperboy;;;;;;;
Penny Racers (USA);Penny Racers (USA);N64;pennyrac;1999;T*HQ;;;;;;;;pennyracu;;;;;;;
Perfect Dark (USA) (Rev 1);Perfect Dark (Europe);N64;;2000;Nintendo;;;;;;;;pdark;;;;;;;
Pilotwings 64 (USA);Pilotwings 64 (USA);N64;pilotwin;1996;Nintendo;;;;;;;;pilotwinu;;;;;;;
Pokemon Puzzle League (USA);Pokemon Puzzle League (USA);N64;;;;;;;;;;;;;;;;;;
Pokemon Snap (USA);Pokemon Snap (USA);N64;;;;;;;;;;;;;;;;;;
Pokemon Stadium (USA) (Rev 2);Pokemon Stadium (USA) (Rev 2);N64;;;;;;;;;;;;;;;;;;
Pokemon Stadium 2 (USA);Pokemon Stadium 2 (USA);N64;;;;;;;;;;;;;;;;;;
Polaris SnoCross (USA);Polaris SnoCross (USA);N64;;2000;Vatical Entertainment;;;;;;;;polarsno;;;;;;;
Power Rangers - Lightspeed Rescue (USA);Power Rangers - Lightspeed Rescue (USA);N64;prlightr;2000;T*HQ;;;;;;;;prlightru;;;;;;;
Powerpuff Girls, The - Chemical X-Traction (USA);The Powerpuff Girls - Chemical X-Traction (USA);N64;;2001;BAM! Entertainment;;;;;;;;powerpuf;;;;;;;
Premier Manager 64 (Europe);Premier Manager 64 (Europe);N64;;1999;Gremlin Interactive;;;;;;;;prmang64;;;;;;;
Quake (USA);Quake (USA);N64;;;;;;;;;;;;;;;;;;
Quake II (USA);Quake II (Europe);N64;;2000;Activision;;;;;;;;quake2;;;;;;;
Quest 64 (USA);Quest 64 (USA);N64;holymagc;1998;T*HQ;;;;;;;;quest64;;;;;;;
RR64 - Ridge Racer 64 (USA);RR64 - Ridge Racer 64 (USA);N64;rr64;2000;Nintendo;;;;;;;;rr64u;;;;;;;
Rakugakids (Europe);Rakuga Kids (Europe);N64;;1998;Konami;;;;;;;;rakuga;;;;;;;
Rally Challenge 2000 (USA);Rally Challenge 2000 (USA);N64;;2000;South Peak;;;;;;;;rallychl;;;;;;;
