#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
F-Zero (USA);F-Zero (USA);SuperNES;;;;;;;;;;;;;;;;;;
F1 Pole Position (USA);F1 Pole Position (USA);SuperNES;;;;;;;;;;;;;;;;;;
F1 Pole Position 2 (Europe);F1 Pole Position 2 (Europe);SuperNES;;;;;;;;;;;;;;;;;;
F1 ROC - Race of Champions (USA);F1 ROC - Race of Champions (USA);SuperNES;;;;;;;;;;;;;;;;;;
F1 World Championship Edition (Europe);F1 World Championship Edition (Europe);SuperNES;;;;;;;;;;;;;;;;;;
F1-ROC II - Race of Champions (USA);F1-ROC II - Race of Champions (USA);SuperNES;;;;;;;;;;;;;;;;;;
FIFA - Road to World Cup 98 (Europe) (En,Fr,De,Es,It,Sv) (A8FE);FIFA - Road to World Cup 98 (Europe) (En,Fr,De,Es,It,Sv) (A8FE);SuperNES;;;;;;;;;;;;;;;;;;
FIFA International Soccer (USA);FIFA International Soccer (USA);SuperNES;;;;;;;;;;;;;;;;;;
FIFA Soccer 96 (USA) (En,Fr,De,Es,It,Sv);FIFA Soccer 96 (USA) (En,Fr,De,Es,It,Sv);SuperNES;;;;;;;;;;;;;;;;;;
FIFA Soccer 97 (USA) (En,Fr,De,Es,It,Sv);FIFA Soccer 97 (USA) (En,Fr,De,Es,It,Sv);SuperNES;;;;;;;;;;;;;;;;;;
Faceball 2000 (USA);Faceball 2000 (USA);SuperNES;;;;;;;;;;;;;;;;;;
Family Dog (USA);Family Dog (USA);SuperNES;;;;;;;;;;;;;;;;;;
Family Feud (USA) (Rev 1);Family Feud (USA) (Rev 1);SuperNES;;;;;;;;;;;;;;;;;;
Fatal Fury (USA);Fatal Fury (USA);SuperNES;;;;;;;;;;;;;;;;;;
Fatal Fury 2 (USA);Fatal Fury 2 (USA);SuperNES;;;;;;;;;;;;;;;;;;
Fatal Fury Special (USA);Fatal Fury Special (USA);SuperNES;;;;;;;;;;;;;;;;;;
Fighter's History (USA) (Rev 1);Fighter's History (USA) (Rev 1);SuperNES;;;;;;;;;;;;;;;;;;
Final Fantasy - Mystic Quest (USA) (Rev 1);Final Fantasy - Mystic Quest (USA) (Rev 1);SuperNES;;;;;;;;;;;;;;;;;;
Final Fantasy II (USA) (Rev 1);Final Fantasy II (USA) (Rev 1);SuperNES;;;;;;;;;;;;;;;;;;
Final Fantasy III (USA) (Rev 1);Final Fantasy III (USA) (Rev 1);SuperNES;;;;;;;;;;;;;;;;;;
Final Fight (USA);Final Fight (USA);SuperNES;;;;;;;;;;;;;;;;;;
Final Fight 2 (USA);Final Fight 2 (USA);SuperNES;;;;;;;;;;;;;;;;;;
Final Fight 3 (USA);Final Fight 3 (USA);SuperNES;;;;;;;;;;;;;;;;;;
Final Fight Guy (USA);Final Fight Guy (USA);SuperNES;;;;;;;;;;;;;;;;;;
FireStriker (USA);FireStriker (USA);SuperNES;;;;;;;;;;;;;;;;;;
Firemen, The (Europe) (En,Fr,De);Firemen, The (Europe) (En,Fr,De);SuperNES;;;;;;;;;;;;;;;;;;
Firepower 2000 (USA);Firepower 2000 (USA);SuperNES;;;;;;;;;;;;;;;;;;
First Samurai (USA);First Samurai (USA);SuperNES;;;;;;;;;;;;;;;;;;
Flashback - The Quest for Identity (USA) (En,Fr,De);Flashback - The Quest for Identity (USA) (En,Fr,De);SuperNES;;;;;;;;;;;;;;;;;;
Flintstones, The (USA) (En,Fr,De,Es,It);Flintstones, The (USA) (En,Fr,De,Es,It);SuperNES;;;;;;;;;;;;;;;;;;
Flintstones, The - The Treasure of Sierra Madrock (USA);Flintstones, The - The Treasure of Sierra Madrock (USA);SuperNES;;;;;;;;;;;;;;;;;;
Football Fury (USA);Football Fury (USA);SuperNES;;;;;;;;;;;;;;;;;;
Foreman for Real (USA);Foreman for Real (USA);SuperNES;;;;;;;;;;;;;;;;;;
Frank Thomas Big Hurt Baseball (USA);Frank Thomas Big Hurt Baseball (USA);SuperNES;;;;;;;;;;;;;;;;;;
Frantic Flea (USA);Frantic Flea (USA);SuperNES;;;;;;;;;;;;;;;;;;
Frogger (USA);Frogger (USA);SuperNES;;;;;;;;;;;;;;;;;;
Full Throttle - All-American Racing (USA);Full Throttle - All-American Racing (USA);SuperNES;;;;;;;;;;;;;;;;;;
Fun 'n Games (USA);Fun 'n Games (USA);SuperNES;;;;;;;;;;;;;;;;;;
GP-1 (USA);GP-1 (USA);SuperNES;;;;;;;;;;;;;;;;;;
GP-1 - Part II (USA);GP-1 - Part II (USA);SuperNES;;;;;;;;;;;;;;;;;;
Galaxy Wars (Japan) (En);Galaxy Wars (Japan) (En);SuperNES;;;;;;;;;;;;;;;;;;
Game Genie (USA) (v2.0) (Unl);Game Genie (USA) (v2.0) (Unl);SuperNES;;;;;;;;;;;;;;;;;;
Game Saver (Europe) (v1.7) (Unl);Game Saver (Europe) (v1.7) (Unl);SuperNES;;;;;;;;;;;;;;;;;;
Garry Kitchen's Super Battletank - War in the Gulf (USA) (Rev 1);Garry Kitchen's Super Battletank - War in the Gulf (USA) (Rev 1);SuperNES;;;;;;;;;;;;;;;;;;
Gekitotsu Dangan Jidousha Kessen - Battle Mobile (Japan) (En);Gekitotsu Dangan Jidousha Kessen - Battle Mobile (Japan) (En);SuperNES;;;;;;;;;;;;;;;;;;
Gemfire (USA);Gemfire (USA);SuperNES;;;;;;;;;;;;;;;;;;
Genghis Khan II - Clan of the Gray Wolf (USA);Genghis Khan II - Clan of the Gray Wolf (USA);SuperNES;;;;;;;;;;;;;;;;;;
George Foreman's KO Boxing (USA) (Rev 1);George Foreman's KO Boxing (USA) (Rev 1);SuperNES;;;;;;;;;;;;;;;;;;
Ghoul Patrol (USA);Ghoul Patrol (USA);SuperNES;;;;;;;;;;;;;;;;;;
Goal! (USA);Goal! (USA);SuperNES;;;;;;;;;;;;;;;;;;
Gods (USA);Gods (USA);SuperNES;;;;;;;;;;;;;;;;;;
Gon (Japan) (En);Gon (Japan) (En);SuperNES;;;;;;;;;;;;;;;;;;
Goof Troop (USA);Goof Troop (USA);SuperNES;;;;;;;;;;;;;;;;;;
Gradius III (USA);Gradius III (USA);SuperNES;;;;;;;;;;;;;;;;;;
Great Circus Mystery Starring Mickey & Minnie, The (USA);Great Circus Mystery Starring Mickey & Minnie, The (USA);SuperNES;;;;;;;;;;;;;;;;;;
Great Waldo Search, The (USA);Great Waldo Search, The (USA);SuperNES;;;;;;;;;;;;;;;;;;
GunForce (USA);GunForce (USA);SuperNES;;;;;;;;;;;;;;;;;;
HAL's Hole in One Golf (USA);HAL's Hole in One Golf (USA);SuperNES;;;;;;;;;;;;;;;;;;
Hagane - The Final Conflict (USA);Hagane - The Final Conflict (USA);SuperNES;;;;;;;;;;;;;;;;;;
Hammer Lock Wrestling (USA);Hammer Lock Wrestling (USA);SuperNES;;;;;;;;;;;;;;;;;;
HardBall III (USA);HardBall III (USA);SuperNES;;;;;;;;;;;;;;;;;;
Harley's Humongous Adventure (USA);Harley's Humongous Adventure (USA);SuperNES;;;;;;;;;;;;;;;;;;
Harvest Moon (USA);Harvest Moon (USA);SuperNES;;;;;;;;;;;;;;;;;;
Head-On Soccer (USA);Head-On Soccer (USA);SuperNES;;;;;;;;;;;;;;;;;;
Hebereke's Popoitto (Europe);Hebereke's Popoitto (Europe);SuperNES;;;;;;;;;;;;;;;;;;
Hebereke's Popoon (Europe);Hebereke's Popoon (Europe);SuperNES;;;;;;;;;;;;;;;;;;
Hit the Ice - VHL - The Official Video Hockey League (USA);Hit the Ice - VHL - The Official Video Hockey League (USA);SuperNES;;;;;;;;;;;;;;;;;;
Home Alone (USA);Home Alone (USA);SuperNES;;;;;;;;;;;;;;;;;;
Home Alone 2 - Lost in New York (USA);Home Alone 2 - Lost in New York (USA);SuperNES;;;;;;;;;;;;;;;;;;
