#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Cosmic Spacehead (Europe) (En,Fr,De,Es);Cosmic Spacehead (Europe) (En,Fr,De,Es);MasterSystem;;;;;2;;;;;;;Cosmic Spacehead;;;;;;
Cyber Shinobi, The (Europe, Brazil);Cyber Shinobi, The (Europe, Brazil);MasterSystem;;;;;;;;;;;;;;;;;;
Cyborg Hunter (USA, Europe, Brazil);Cyborg Hunter (USA, Europe, Brazil);MasterSystem;;;;;;;;;;;;Cyborg Hunter;;;;;;
Daffy Duck in Hollywood (Europe, Brazil) (En,Fr,De,Es,It);Daffy Duck in Hollywood (Europe, Brazil) (En,Fr,De,Es,It);MasterSystem;;;;;1;;;;;;;Daffy Duck in Hollywood;;;;;;
Danan - The Jungle Fighter (Europe, Brazil);Danan - The Jungle Fighter (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Danan: The Jungle Fighter;;;;;;
Dead Angle (USA, Europe, Brazil);Dead Angle (USA, Europe, Brazil);MasterSystem;;;;;;;;;;;;Dead Angle;;;;;;
Deep Duck Trouble Starring Donald Duck (Europe, Brazil);Deep Duck Trouble Starring Donald Duck (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Deep Duck Trouble Starring Donald Duck;;;;;;
Desert Speedtrap Starring Road Runner and Wile E. Coyote (Europe, Brazil) (En,Fr,De,Es,It);Desert Speedtrap Starring Road Runner and Wile E. Coyote (Europe, Brazil) (En,Fr,De,Es,It);MasterSystem;;;;;1;;;;;;;Desert Speedtrap starring Road Runner and Wile E. Coyote;;;;;;
Desert Strike (Europe) (En,Fr,De,Es);Desert Strike (Europe) (En,Fr,De,Es);MasterSystem;;;;;1;;;;;;;Desert Strike;;;;;;
Dick Tracy (USA, Europe, Brazil);Dick Tracy (USA, Europe, Brazil);MasterSystem;;;;;1;;;;;;;Dick Tracy;;;;;;
Double Dragon (World);Double Dragon (World);MasterSystem;;;;;2;;;;;;;Double Dragon;;;;;;
Double Hawk (Europe);Double Hawk (Europe);MasterSystem;;;;;2;;;;;;;Double Hawk;;;;;;
Dr. Robotnik's Mean Bean Machine (Europe, Brazil);Dr. Robotnik's Mean Bean Machine (Europe, Brazil);MasterSystem;;;;;2;;;;;;;Dr. Robotnik's Mean Bean Machine;;;;;;
Dragon - The Bruce Lee Story (Europe);Dragon - The Bruce Lee Story (Europe);MasterSystem;;;;;2;;;;;;;Dragon: The Bruce Lee Story;;;;;;
Dragon Crystal (Europe, Brazil);Dragon Crystal (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Dragon Crystal;;;;;;
Dynamite Duke (Europe, Brazil);Dynamite Duke (Europe, Brazil);MasterSystem;;;;;;;;;;;;Dynamite Duke;;;;;;
Dynamite Dux (Europe, Brazil);Dynamite Dux (Europe, Brazil);MasterSystem;;;;;;;;;;;;Dynamite Dux;;;;;;
Dynamite Headdy (Brazil);Dynamite Headdy (Brazil);MasterSystem;;;;;;;;;;;;Dynamite Headdy;;;;;;
E-SWAT (USA, Europe, Brazil) (Rev 1);E-SWAT (USA, Europe, Brazil) (Rev 1);MasterSystem;;;;;2;;;;;;;E-SWAT;;;;;;
Earthworm Jim (Brazil);Earthworm Jim (Brazil);MasterSystem;;;;;1;;;;;;;Earthworm Jim;;;;;;
Ecco - The Tides of Time (Brazil);Ecco - The Tides of Time (Brazil);MasterSystem;;;;;1;;;;;;;Ecco: The Tides of Time;;;;;;
Ecco the Dolphin (Europe, Brazil);Ecco the Dolphin (Europe, Brazil);MasterSystem;;;;;1;;;;;;;Ecco the Dolphin;;;;;;
Enduro Racer ~ Super Cross (USA, Europe, Brazil);Enduro Racer ~ Super Cross (USA, Europe, Brazil);MasterSystem;;;;;;;;;;;;;;;;;;
